id,digit
2049,6
2050,9
2051,6
2052,5
2053,3
2054,7
2055,5
2056,3
2057,4
2058,4
2059,1
2060,5
2061,7
2062,5
2063,1
2064,5
2065,1
2066,6
2067,1
2068,4
2069,5
2070,9
2071,7
2072,5
2073,3
2074,7
2075,0
2076,7
2077,9
2078,2
2079,3
2080,8
2081,8
2082,5
2083,0
2084,4
2085,9
2086,5
2087,2
2088,4
2089,9
2090,1
2091,8
2092,9
2093,3
2094,0
2095,7
2096,6
2097,2
2098,5
2099,3
2100,5
2101,7
2102,2
2103,6
2104,6
2105,1
2106,0
2107,5
2108,5
2109,2
2110,2
2111,1
2112,9
2113,5
2114,2
2115,0
2116,3
2117,9
2118,6
2119,5
2120,6
2121,9
2122,3
2123,2
2124,7
2125,6
2126,9
2127,1
2128,7
2129,7
2130,0
2131,5
2132,4
2133,5
2134,9
2135,3
2136,3
2137,7
2138,3
2139,5
2140,5
2141,9
2142,4
2143,0
2144,9
2145,9
2146,5
2147,0
2148,9
2149,6
2150,5
2151,6
2152,5
2153,5
2154,5
2155,0
2156,9
2157,5
2158,7
2159,9
2160,7
2161,9
2162,9
2163,4
2164,6
2165,5
2166,2
2167,9
2168,7
2169,2
2170,0
2171,7
2172,9
2173,6
2174,9
2175,5
2176,5
2177,1
2178,7
2179,1
2180,5
2181,9
2182,6
2183,5
2184,9
2185,6
2186,5
2187,0
2188,9
2189,3
2190,8
2191,5
2192,5
2193,5
2194,5
2195,3
2196,8
2197,7
2198,9
2199,8
2200,6
2201,6
2202,8
2203,0
2204,6
2205,9
2206,5
2207,8
2208,5
2209,0
2210,0
2211,5
2212,1
2213,4
2214,7
2215,5
2216,9
2217,9
2218,6
2219,0
2220,4
2221,9
2222,7
2223,3
2224,1
2225,4
2226,3
2227,0
2228,7
2229,5
2230,5
2231,5
2232,0
2233,6
2234,0
2235,4
2236,9
2237,2
2238,6
2239,3
2240,5
2241,0
2242,5
2243,5
2244,5
2245,9
2246,0
2247,2
2248,9
2249,1
2250,5
2251,7
2252,1
2253,5
2254,6
2255,0
2256,0
2257,7
2258,9
2259,9
2260,2
2261,2
2262,5
2263,9
2264,0
2265,7
2266,3
2267,3
2268,9
2269,6
2270,5
2271,4
2272,9
2273,6
2274,4
2275,5
2276,7
2277,6
2278,7
2279,7
2280,4
2281,5
2282,9
2283,9
2284,5
2285,2
2286,7
2287,3
2288,6
2289,5
2290,8
2291,1
2292,1
2293,1
2294,9
2295,2
2296,6
2297,5
2298,1
2299,0
2300,7
2301,5
2302,9
2303,3
2304,4
2305,7
2306,9
2307,4
2308,5
2309,2
2310,4
2311,8
2312,5
2313,2
2314,9
2315,9
2316,4
2317,6
2318,5
2319,6
2320,5
2321,5
2322,5
2323,9
2324,3
2325,8
2326,4
2327,8
2328,9
2329,9
2330,1
2331,6
2332,9
2333,8
2334,9
2335,1
2336,1
2337,5
2338,2
2339,6
2340,9
2341,2
2342,6
2343,1
2344,0
2345,7
2346,9
2347,1
2348,3
2349,5
2350,3
2351,1
2352,2
2353,0
2354,0
2355,7
2356,2
2357,7
2358,7
2359,5
2360,4
2361,3
2362,5
2363,1
2364,6
2365,2
2366,5
2367,2
2368,5
2369,3
2370,9
2371,9
2372,6
2373,9
2374,9
2375,5
2376,3
2377,5
2378,9
2379,3
2380,5
2381,3
2382,4
2383,3
2384,5
2385,9
2386,1
2387,3
2388,7
2389,4
2390,5
2391,7
2392,8
2393,4
2394,8
2395,3
2396,1
2397,4
2398,5
2399,3
2400,5
2401,9
2402,4
2403,2
2404,6
2405,7
2406,3
2407,9
2408,5
2409,9
2410,4
2411,9
2412,3
2413,3
2414,0
2415,5
2416,3
2417,0
2418,9
2419,2
2420,7
2421,5
2422,2
2423,3
2424,5
2425,1
2426,1
2427,9
2428,9
2429,8
2430,9
2431,5
2432,9
2433,9
2434,9
2435,9
2436,0
2437,7
2438,3
2439,9
2440,1
2441,7
2442,5
2443,5
2444,3
2445,9
2446,4
2447,4
2448,0
2449,3
2450,3
2451,5
2452,0
2453,2
2454,9
2455,0
2456,5
2457,6
2458,5
2459,1
2460,9
2461,6
2462,2
2463,0
2464,5
2465,4
2466,1
2467,9
2468,5
2469,7
2470,3
2471,1
2472,6
2473,5
2474,9
2475,9
2476,6
2477,4
2478,9
2479,4
2480,2
2481,9
2482,6
2483,9
2484,6
2485,6
2486,5
2487,2
2488,2
2489,6
2490,7
2491,9
2492,2
2493,3
2494,2
2495,6
2496,5
2497,5
2498,9
2499,7
2500,7
2501,2
2502,8
2503,6
2504,5
2505,5
2506,1
2507,6
2508,8
2509,7
2510,4
2511,5
2512,7
2513,5
2514,8
2515,0
2516,9
2517,7
2518,5
2519,0
2520,5
2521,5
2522,5
2523,9
2524,7
2525,8
2526,5
2527,5
2528,7
2529,4
2530,0
2531,3
2532,7
2533,2
2534,8
2535,5
2536,9
2537,9
2538,4
2539,7
2540,8
2541,5
2542,9
2543,0
2544,5
2545,9
2546,3
2547,9
2548,1
2549,1
2550,5
2551,3
2552,4
2553,2
2554,5
2555,9
2556,0
2557,9
2558,1
2559,0
2560,1
2561,7
2562,5
2563,2
2564,3
2565,9
2566,6
2567,9
2568,3
2569,7
2570,7
2571,5
2572,0
2573,3
2574,5
2575,0
2576,7
2577,3
2578,9
2579,9
2580,2
2581,5
2582,8
2583,6
2584,8
2585,2
2586,3
2587,5
2588,7
2589,0
2590,1
2591,6
2592,7
2593,1
2594,4
2595,4
2596,4
2597,3
2598,5
2599,4
2600,0
2601,0
2602,2
2603,7
2604,7
2605,4
2606,4
2607,3
2608,6
2609,2
2610,8
2611,3
2612,1
2613,5
2614,3
2615,9
2616,6
2617,1
2618,9
2619,3
2620,2
2621,4
2622,9
2623,5
2624,5
2625,2
2626,5
2627,0
2628,8
2629,0
2630,9
2631,9
2632,9
2633,6
2634,4
2635,8
2636,9
2637,3
2638,4
2639,1
2640,6
2641,4
2642,3
2643,5
2644,9
2645,9
2646,6
2647,0
2648,3
2649,5
2650,8
2651,5
2652,6
2653,4
2654,3
2655,7
2656,7
2657,9
2658,5
2659,8
2660,5
2661,0
2662,5
2663,1
2664,2
2665,3
2666,9
2667,5
2668,9
2669,1
2670,3
2671,9
2672,8
2673,5
2674,6
2675,1
2676,5
2677,4
2678,0
2679,0
2680,4
2681,4
2682,5
2683,9
2684,0
2685,3
2686,4
2687,6
2688,5
2689,5
2690,5
2691,4
2692,2
2693,2
2694,7
2695,3
2696,6
2697,6
2698,7
2699,9
2700,1
2701,9
2702,5
2703,3
2704,6
2705,5
2706,9
2707,1
2708,9
2709,1
2710,3
2711,5
2712,5
2713,0
2714,0
2715,2
2716,2
2717,6
2718,5
2719,0
2720,0
2721,3
2722,9
2723,7
2724,7
2725,4
2726,7
2727,8
2728,6
2729,6
2730,0
2731,3
2732,1
2733,0
2734,5
2735,5
2736,3
2737,5
2738,6
2739,3
2740,4
2741,5
2742,7
2743,4
2744,2
2745,0
2746,5
2747,0
2748,9
2749,5
2750,5
2751,7
2752,5
2753,7
2754,9
2755,0
2756,6
2757,3
2758,3
2759,3
2760,4
2761,3
2762,5
2763,2
2764,3
2765,3
2766,9
2767,5
2768,8
2769,2
2770,1
2771,3
2772,4
2773,9
2774,3
2775,3
2776,3
2777,7
2778,9
2779,4
2780,5
2781,3
2782,8
2783,4
2784,0
2785,8
2786,1
2787,2
2788,4
2789,0
2790,9
2791,0
2792,0
2793,9
