id,digit
2049,1
2050,9
2051,7
2052,0
2053,3
2054,7
2055,5
2056,3
2057,4
2058,4
2059,1
2060,5
2061,7
2062,5
2063,1
2064,5
2065,1
2066,6
2067,1
2068,4
2069,5
2070,9
2071,1
2072,2
2073,5
2074,3
2075,0
2076,1
2077,7
2078,6
2079,8
2080,1
2081,4
2082,1
2083,0
2084,9
2085,1
2086,3
2087,6
2088,4
2089,1
2090,1
2091,8
2092,9
2093,1
2094,0
2095,1
2096,6
2097,0
2098,9
2099,9
2100,4
2101,4
2102,1
2103,1
2104,0
2105,1
2106,3
2107,0
2108,4
2109,4
2110,8
2111,1
2112,4
2113,3
2114,5
2115,0
2116,3
2117,1
2118,6
2119,1
2120,6
2121,3
2122,3
2123,6
2124,4
2125,6
2126,7
2127,1
2128,5
2129,7
2130,4
2131,7
2132,1
2133,3
2134,2
2135,8
2136,3
2137,3
2138,5
2139,5
2140,0
2141,4
2142,4
2143,0
2144,0
2145,4
2146,3
2147,0
2148,1
2149,4
2150,6
2151,6
2152,0
2153,7
2154,6
2155,2
2156,9
2157,4
2158,4
2159,3
2160,2
2161,9
2162,0
2163,1
2164,5
2165,1
2166,5
2167,3
2168,1
2169,5
2170,7
2171,1
2172,5
2173,6
2174,6
2175,4
2176,1
2177,1
2178,3
2179,1
2180,5
2181,9
2182,6
2183,6
2184,2
2185,4
2186,2
2187,4
2188,4
2189,7
2190,1
2191,5
2192,8
2193,6
2194,0
2195,9
2196,8
2197,7
2198,6
2199,1
2200,6
2201,5
2202,1
2203,0
2204,4
2205,4
2206,1
2207,8
2208,5
2209,6
2210,3
2211,2
2212,1
2213,8
2214,1
2215,5
2216,4
2217,9
2218,1
2219,0
2220,0
2221,4
2222,8
2223,5
2224,1
2225,4
2226,3
2227,0
2228,7
2229,4
2230,5
2231,8
2232,5
2233,1
2234,5
2235,4
2236,9
2237,2
2238,6
2239,3
2240,1
2241,0
2242,3
2243,5
2244,2
2245,9
2246,0
2247,2
2248,9
2249,1
2250,3
2251,3
2252,1
2253,5
2254,6
2255,6
2256,0
2257,2
2258,9
2259,4
2260,7
2261,2
2262,2
2263,8
2264,5
2265,7
2266,0
2267,0
2268,5
2269,2
2270,2
2271,8
2272,9
2273,5
2274,4
2275,5
2276,7
2277,6
2278,7
2279,7
2280,4
2281,8
2282,9
2283,7
2284,1
2285,2
2286,7
2287,2
2288,5
2289,9
2290,8
2291,2
2292,1
2293,1
2294,9
2295,2
2296,6
2297,1
2298,1
2299,0
2300,0
2301,1
2302,2
2303,8
2304,2
2305,7
2306,9
2307,7
2308,1
2309,8
2310,4
2311,1
2312,5
2313,2
2314,2
2315,8
2316,4
2317,4
2318,7
2319,2
2320,5
2321,1
2322,5
2323,5
2324,1
2325,8
2326,4
2327,9
2328,9
2329,5
2330,3
2331,3
2332,9
2333,8
2334,9
2335,1
2336,1
2337,8
2338,2
2339,6
2340,3
2341,2
2342,6
2343,1
2344,6
2345,1
2346,3
2347,1
2348,3
2349,2
2350,5
2351,1
2352,2
2353,0
2354,6
2355,1
2356,2
2357,6
2358,7
2359,5
2360,4
2361,0
2362,9
2363,4
2364,2
2365,7
2366,4
2367,2
2368,3
2369,3
2370,7
2371,1
2372,1
2373,7
2374,7
2375,5
2376,0
2377,5
2378,8
2379,2
2380,4
2381,3
2382,3
2383,1
2384,0
2385,9
2386,1
2387,3
2388,7
2389,4
2390,7
2391,7
2392,4
2393,4
2394,5
2395,3
2396,1
2397,1
2398,4
2399,3
2400,0
2401,2
2402,4
2403,2
2404,4
2405,9
2406,3
2407,7
2408,9
2409,3
2410,1
2411,3
2412,3
2413,7
2414,0
2415,7
2416,7
2417,0
2418,8
2419,7
2420,9
2421,4
2422,3
2423,3
2424,1
2425,1
2426,1
2427,1
2428,8
2429,4
2430,5
2431,5
2432,1
2433,8
2434,4
2435,3
2436,2
2437,7
2438,7
2439,9
2440,2
2441,7
2442,9
2443,1
2444,3
2445,3
2446,4
2447,9
2448,8
2449,2
2450,3
2451,5
2452,1
2453,2
2454,9
2455,6
2456,3
2457,6
2458,2
2459,4
2460,5
2461,6
2462,7
2463,6
2464,7
2465,4
2466,1
2467,4
2468,8
2469,1
2470,3
2471,5
2472,1
2473,3
2474,5
2475,9
2476,6
2477,4
2478,9
2479,2
2480,8
2481,5
2482,8
2483,9
2484,6
2485,0
2486,3
2487,2
2488,2
2489,6
2490,1
2491,9
2492,2
2493,7
2494,2
2495,0
2496,9
2497,6
2498,3
2499,7
2500,7
2501,2
2502,8
2503,8
2504,5
2505,5
2506,1
2507,3
2508,8
2509,5
2510,2
2511,5
2512,7
2513,5
2514,9
2515,7
2516,9
2517,1
2518,1
2519,0
2520,6
2521,5
2522,3
2523,9
2524,7
2525,8
2526,3
2527,7
2528,7
2529,7
2530,0
2531,3
2532,7
2533,2
2534,4
2535,5
2536,5
2537,4
2538,4
2539,7
2540,9
2541,3
2542,5
2543,0
2544,3
2545,9
2546,3
2547,7
2548,1
2549,1
2550,0
2551,3
2552,4
2553,2
2554,5
2555,6
2556,0
2557,9
2558,1
2559,0
2560,1
2561,7
2562,5
2563,0
2564,3
2565,5
2566,2
2567,7
2568,6
2569,8
2570,7
2571,6
2572,5
2573,7
2574,5
2575,3
2576,7
2577,7
2578,5
2579,1
2580,2
2581,0
2582,8
2583,6
2584,8
2585,2
2586,3
2587,2
2588,7
2589,0
2590,4
2591,6
2592,7
2593,8
2594,7
2595,4
2596,4
2597,3
2598,5
2599,7
2600,2
2601,0
2602,2
2603,7
2604,9
2605,4
2606,8
2607,3
2608,8
2609,3
2610,8
2611,3
2612,1
2613,5
2614,3
2615,1
2616,6
2617,1
2618,9
2619,2
2620,2
2621,4
2622,4
2623,2
2624,0
2625,2
2626,5
2627,6
2628,8
2629,3
2630,3
2631,4
2632,9
2633,6
2634,1
2635,5
2636,5
2637,3
2638,4
2639,1
2640,6
2641,1
2642,4
2643,2
2644,3
2645,5
2646,6
2647,0
2648,3
2649,5
2650,8
2651,3
2652,5
2653,5
2654,3
2655,7
2656,7
2657,9
2658,2
2659,1
2660,3
2661,0
2662,0
2663,1
2664,2
2665,3
2666,4
2667,4
2668,7
2669,1
2670,7
2671,5
2672,8
2673,5
2674,5
2675,3
2676,9
2677,4
2678,0
2679,3
2680,1
2681,5
2682,6
2683,7
2684,7
2685,3
2686,2
2687,6
2688,4
2689,1
2690,5
2691,8
2692,2
2693,0
2694,7
2695,0
2696,0
2697,7
2698,1
2699,9
2700,1
2701,4
2702,2
2703,5
2704,6
2705,3
2706,5
2707,1
2708,9
2709,1
2710,0
2711,0
2712,6
2713,0
2714,5
2715,3
2716,0
2717,6
2718,3
2719,6
2720,6
2721,3
2722,8
2723,0
2724,7
2725,4
2726,1
2727,8
2728,7
2729,6
2730,5
2731,4
2732,1
2733,0
2734,5
2735,5
2736,3
2737,5
2738,6
2739,3
2740,6
2741,5
2742,7
2743,8
2744,2
2745,0
2746,1
2747,0
2748,4
2749,6
2750,5
2751,5
2752,5
2753,1
2754,1
2755,9
2756,6
2757,3
2758,2
2759,3
2760,4
2761,3
2762,5
2763,2
2764,1
2765,3
2766,9
2767,1
2768,1
2769,2
2770,1
2771,3
2772,9
2773,8
2774,5
2775,0
2776,5
2777,7
2778,4
2779,4
2780,5
2781,0
2782,8
2783,5
2784,0
2785,8
2786,1
2787,4
2788,4
2789,0
2790,9
2791,6
2792,0
2793,9
2794,1
2795,7
2796,5
2797,7
2798,1
2799,7
2800,8
2801,3
2802,4
2803,1
2804,1
2805,6
2806,8
2807,6
2808,7
2809,3
2810,3
2811,4
2812,9
2813,4
2814,9
2815,3
2816,1
2817,5
2818,7
2819,2
2820,1
2821,1
2822,3
2823,2
2824,4
2825,6
2826,3
2827,0
2828,4
2829,5
2830,7
2831,1
2832,9
2833,6
2834,9
2835,1
2836,7
2837,1
2838,1
2839,9
2840,4
2841,7
2842,1
2843,4
2844,9
2845,8
2846,9
2847,9
2848,1
2849,3
2850,4
2851,1
2852,2
2853,0
2854,5
2855,1
2856,0
2857,0
2858,0
2859,1
2860,6
2861,5
2862,1
2863,5
2864,9
2865,9
2866,9
2867,9
2868,7
2869,2
2870,9
2871,4
2872,7
2873,0
2874,0
2875,9
2876,1
2877,6
2878,7
2879,6
2880,2
2881,0
2882,3
2883,1
2884,7
2885,8
2886,7
2887,9
2888,5
2889,1
2890,7
2891,9
2892,3
2893,2
2894,3
2895,3
2896,1
2897,7
2898,1
2899,9
2900,6
2901,0
2902,0
2903,1
2904,1
2905,9
2906,3
2907,3
2908,1
2909,2
2910,4
2911,5
2912,3
2913,1
2914,7
2915,2
2916,0
2917,2
2918,3
2919,1
2920,3
2921,4
2922,5
2923,6
2924,4
2925,1
2926,8
2927,3
2928,7
2929,0
2930,7
2931,1
2932,4
2933,7
2934,9
2935,8
2936,9
2937,0
2938,2
2939,5
2940,7
2941,1
2942,3
2943,3
2944,8
2945,8
2946,3
2947,2
2948,7
2949,7
2950,4
2951,1
2952,9
2953,1
2954,6
2955,3
2956,1
2957,0
2958,2
2959,7
2960,4
2961,0
2962,1
2963,5
2964,3
2965,6
2966,7
2967,0
2968,3
2969,6
2970,7
2971,5
2972,4
2973,1
2974,1
2975,2
2976,3
2977,4
2978,2
2979,7
2980,1
2981,3
2982,4
2983,9
2984,4
2985,0
2986,4
2987,4
2988,3
2989,8
2990,8
2991,7
2992,1
2993,3
2994,2
2995,7
2996,1
2997,5
2998,7
2999,2
3000,4
3001,3
3002,3
3003,8
3004,8
3005,3
3006,1
3007,5
3008,4
3009,8
3010,0
3011,4
3012,4
3013,6
3014,7
3015,8
3016,1
3017,1
3018,4
3019,6
3020,8
3021,5
3022,3
3023,5
3024,3
3025,6
3026,2
3027,2
3028,7
3029,9
3030,1
3031,7
3032,1
3033,5
3034,8
3035,2
3036,4
3037,0
3038,6
3039,3
3040,5
3041,9
3042,1
3043,0
3044,9
3045,9
3046,5
3047,4
3048,9
3049,2
3050,1
3051,5
3052,7
3053,1
3054,7
3055,5
3056,1
3057,9
3058,9
3059,4
3060,7
3061,6
3062,3
3063,2
3064,5
3065,2
3066,5
3067,8
3068,1
3069,2
3070,4
3071,0
3072,7
3073,6
3074,3
3075,3
3076,1
3077,1
3078,4
3079,9
3080,5
3081,9
3082,9
3083,1
3084,2
3085,5
3086,3
3087,9
3088,7
3089,3
3090,7
3091,7
3092,3
3093,0
3094,6
3095,0
3096,7
3097,1
3098,7
3099,1
3100,2
3101,1
3102,0
3103,1
3104,7
3105,1
3106,0
3107,2
3108,2
3109,9
3110,4
3111,1
3112,5
3113,9
3114,2
3115,3
3116,4
3117,0
3118,2
3119,8
3120,4
3121,0
3122,5
3123,1
3124,6
3125,1
3126,8
3127,6
3128,3
3129,7
3130,6
3131,2
3132,0
3133,1
3134,6
3135,5
3136,6
3137,5
3138,1
3139,7
3140,0
3141,3
3142,4
3143,1
3144,6
3145,8
3146,8
3147,2
3148,2
3149,9
3150,7
3151,4
3152,1
3153,6
3154,8
3155,5
3156,2
3157,1
3158,2
3159,4
3160,7
3161,5
3162,8
3163,5
3164,1
3165,7
3166,9
3167,1
3168,0
3169,7
3170,6
3171,6
3172,1
3173,7
3174,2
3175,7
3176,4
3177,4
3178,2
3179,4
3180,7
3181,3
3182,9
3183,3
3184,4
3185,7
3186,1
3187,9
3188,1
3189,1
3190,2
3191,5
3192,9
3193,4
3194,0
3195,1
3196,6
3197,6
3198,1
3199,0
3200,8
3201,5
3202,1
3203,6
3204,0
3205,5
3206,9
3207,5
3208,3
3209,7
3210,5
3211,1
3212,1
3213,9
3214,5
3215,6
3216,1
3217,2
3218,4
3219,8
3220,2
3221,5
3222,3
3223,8
3224,8
3225,5
3226,5
3227,2
3228,1
3229,5
3230,6
3231,1
3232,9
3233,9
3234,0
3235,0
3236,0
3237,9
3238,2
3239,0
3240,2
3241,5
3242,3
3243,4
3244,2
3245,8
3246,6
3247,6
3248,6
3249,7
3250,4
3251,8
3252,9
3253,7
3254,4
3255,6
3256,8
3257,0
3258,9
3259,3
3260,2
3261,9
3262,4
3263,9
3264,4
3265,6
3266,5
3267,1
3268,9
3269,2
3270,3
3271,7
3272,9
3273,8
3274,4
3275,2
3276,6
3277,6
3278,6
3279,5
3280,5
3281,0
3282,5
3283,4
3284,7
3285,8
3286,7
3287,2
3288,0
3289,8
3290,3
3291,8
3292,3
3293,1
3294,2
3295,5
3296,6
3297,7
3298,1
3299,9
3300,1
3301,9
3302,0
3303,4
3304,3
3305,1
3306,2
3307,9
3308,9
3309,7
3310,3
3311,5
3312,1
3313,6
3314,1
3315,6
3316,5
3317,3
3318,7
3319,7
3320,2
3321,9
3322,3
3323,7
3324,0
3325,3
3326,1
3327,7
3328,4
3329,9
3330,7
3331,4
3332,4
3333,8
3334,9
3335,4
3336,4
3337,9
3338,2
3339,3
3340,1
3341,3
3342,5
3343,1
3344,9
3345,1
3346,2
3347,6
3348,6
3349,6
3350,9
3351,3
3352,1
3353,7
3354,4
3355,3
3356,3
3357,4
3358,5
3359,7
3360,5
3361,9
3362,1
3363,1
3364,1
3365,2
3366,3
3367,6
3368,9
3369,5
3370,3
3371,2
3372,3
3373,9
3374,1
3375,7
3376,5
3377,4
3378,6
3379,9
3380,0
3381,1
3382,5
3383,4
3384,4
3385,2
3386,3
3387,4
3388,2
3389,2
3390,4
3391,6
3392,7
3393,5
3394,2
3395,4
3396,5
3397,4
3398,2
3399,5
3400,0
3401,8
3402,4
3403,4
3404,0
3405,4
3406,9
3407,1
3408,0
3409,2
3410,8
3411,2
3412,4
3413,0
3414,6
3415,1
3416,9
3417,7
3418,9
3419,8
3420,0
3421,9
3422,9
3423,7
3424,0
3425,1
3426,1
3427,5
3428,1
3429,5
3430,0
3431,9
3432,6
3433,0
3434,1
3435,2
3436,3
3437,3
3438,9
3439,1
3440,1
3441,4
3442,3
3443,8
3444,1
3445,1
3446,2
3447,3
3448,5
3449,5
3450,1
3451,0
3452,3
3453,6
3454,8
3455,8
3456,5
3457,8
3458,5
3459,7
3460,2
3461,6
3462,6
3463,8
3464,5
3465,0
3466,2
3467,5
3468,3
3469,1
3470,3
3471,3
3472,1
3473,5
3474,4
3475,7
3476,0
3477,9
3478,6
3479,3
3480,2
3481,2
3482,1
3483,9
3484,4
3485,0
3486,0
3487,0
3488,3
3489,1
3490,7
3491,3
3492,5
3493,5
3494,5
3495,1
3496,2
3497,4
3498,1
3499,9
3500,3
3501,1
3502,4
3503,1
3504,3
3505,3
3506,2
3507,0
3508,3
3509,3
3510,6
3511,9
3512,1
3513,2
3514,1
3515,5
3516,1
3517,0
3518,8
3519,3
3520,7
3521,3
3522,2
3523,3
3524,3
3525,1
3526,7
3527,1
3528,2
3529,4
3530,6
3531,0
3532,6
3533,3
3534,1
3535,4
3536,9
3537,8
3538,8
3539,9
3540,4
3541,4
3542,9
3543,0
3544,2
3545,4
3546,2
3547,0
3548,5
3549,0
3550,9
3551,4
3552,1
3553,0
3554,1
3555,1
3556,7
3557,8
3558,4
3559,6
3560,4
3561,3
3562,5
3563,9
3564,0
3565,9
3566,7
3567,3
3568,7
3569,9
3570,9
3571,2
3572,6
3573,3
3574,8
3575,3
3576,6
3577,5
3578,3
3579,8
3580,4
3581,4
3582,1
3583,2
3584,4
3585,1
3586,7
3587,2
3588,3
3589,4
3590,0
3591,9
3592,6
3593,9
3594,8
3595,6
3596,6
3597,4
3598,5
3599,6
3600,7
3601,7
3602,4
3603,7
3604,1
3605,9
3606,6
3607,5
3608,7
3609,7
3610,3
3611,6
3612,9
3613,3
3614,5
3615,2
3616,9
3617,5
3618,9
3619,9
3620,3
3621,0
3622,9
3623,7
3624,4
3625,2
3626,7
3627,5
3628,9
3629,1
3630,9
3631,8
3632,9
3633,4
3634,7
3635,7
3636,2
3637,2
3638,8
3639,1
3640,6
3641,7
3642,5
3643,0
3644,5
3645,7
3646,4
3647,5
3648,0
3649,5
3650,5
3651,3
3652,3
3653,1
3654,6
3655,7
3656,1
3657,3
3658,5
3659,8
3660,9
3661,2
3662,1
3663,0
3664,3
3665,1
3666,3
3667,9
3668,2
3669,5
3670,3
3671,3
3672,9
3673,3
3674,4
3675,8
3676,4
3677,4
3678,1
3679,2
3680,2
3681,3
3682,6
3683,1
3684,1
3685,5
3686,4
3687,7
3688,3
3689,8
3690,1
3691,2
3692,3
3693,8
3694,7
3695,3
3696,7
3697,9
3698,4
3699,3
3700,7
3701,9
3702,7
3703,8
3704,1
3705,4
3706,1
3707,2
3708,8
3709,5
3710,3
3711,6
3712,3
3713,1
3714,1
3715,7
3716,1
3717,4
3718,6
3719,1
3720,1
3721,3
3722,2
3723,5
3724,8
3725,6
3726,6
3727,8
3728,7
3729,8
3730,6
3731,8
3732,3
3733,2
3734,7
3735,7
3736,4
3737,9
3738,0
3739,1
3740,2
3741,8
3742,0
3743,4
3744,0
3745,3
3746,0
3747,7
3748,4
3749,3
3750,4
3751,5
3752,4
3753,5
3754,2
3755,3
3756,5
3757,6
3758,4
3759,5
3760,1
3761,2
3762,9
3763,3
3764,6
3765,1
3766,3
3767,2
3768,5
3769,0
3770,3
3771,1
3772,7
3773,5
3774,5
3775,1
3776,2
3777,1
3778,3
3779,7
3780,2
3781,3
3782,8
3783,5
3784,2
3785,7
3786,2
3787,4
3788,2
3789,2
3790,3
3791,5
3792,7
3793,1
3794,1
3795,7
3796,7
3797,6
3798,0
3799,0
3800,6
3801,6
3802,3
3803,4
3804,6
3805,0
3806,6
3807,9
3808,8
3809,1
3810,2
3811,2
3812,6
3813,2
3814,9
3815,9
3816,4
3817,1
3818,6
3819,1
3820,0
3821,1
3822,0
3823,7
3824,2
3825,6
3826,6
3827,6
3828,1
3829,1
3830,6
3831,5
3832,3
3833,8
3834,7
3835,5
3836,8
3837,5
3838,2
3839,7
3840,2
3841,9
3842,2
3843,0
3844,1
3845,6
3846,4
3847,4
3848,9
3849,3
3850,0
3851,3
3852,8
3853,4
3854,7
3855,7
3856,1
3857,8
3858,4
3859,0
3860,5
3861,1
3862,7
3863,3
3864,4
3865,6
3866,6
3867,0
3868,9
3869,1
3870,7
3871,8
3872,5
3873,7
3874,1
3875,3
3876,4
3877,2
3878,4
3879,4
3880,7
3881,4
3882,7
3883,3
3884,3
3885,6
3886,7
3887,5
3888,7
3889,7
3890,1
3891,6
3892,5
3893,9
3894,7
3895,9
3896,7
3897,6
3898,5
3899,1
3900,9
3901,9
3902,5
3903,3
3904,2
3905,1
3906,5
3907,5
3908,7
3909,5
3910,5
3911,9
3912,7
3913,3
3914,7
3915,6
3916,5
3917,3
3918,4
3919,4
3920,9
3921,6
3922,5
3923,2
3924,9
3925,4
3926,7
3927,2
3928,1
3929,4
3930,3
3931,4
3932,6
3933,0
3934,8
3935,8
3936,3
3937,6
3938,4
3939,7
3940,3
3941,2
3942,9
3943,1
3944,7
3945,3
3946,4
3947,9
3948,8
3949,3
3950,1
3951,2
3952,4
3953,7
3954,3
3955,1
3956,4
3957,7
3958,9
3959,9
3960,4
3961,2
3962,7
3963,5
3964,0
3965,0
3966,3
3967,2
3968,0
3969,5
3970,6
3971,5
3972,5
3973,4
3974,2
3975,2
3976,6
3977,1
3978,7
3979,5
3980,7
3981,6
3982,9
3983,6
3984,6
3985,9
3986,0
3987,3
3988,8
3989,3
3990,3
3991,7
3992,8
3993,9
3994,0
3995,7
3996,3
3997,4
3998,2
3999,5
4000,7
4001,5
4002,3
4003,2
4004,7
4005,1
4006,3
4007,8
4008,4
4009,6
4010,7
4011,0
4012,6
4013,0
4014,9
4015,7
4016,5
4017,5
4018,5
4019,9
4020,3
4021,9
4022,8
4023,5
4024,4
4025,4
4026,0
4027,4
4028,4
4029,0
4030,6
4031,1
4032,5
4033,2
4034,1
4035,9
4036,1
4037,9
4038,2
4039,3
4040,5
4041,5
4042,5
4043,7
4044,6
4045,1
4046,2
4047,4
4048,8
4049,6
4050,5
4051,3
4052,6
4053,3
4054,6
4055,2
4056,6
4057,4
4058,2
4059,6
4060,1
4061,8
4062,2
4063,9
4064,1
4065,4
4066,0
4067,9
4068,2
4069,3
4070,5
4071,3
4072,3
4073,5
4074,2
4075,5
4076,3
4077,1
4078,0
4079,7
4080,6
4081,1
4082,7
4083,3
4084,0
4085,5
4086,2
4087,3
4088,3
4089,0
4090,4
4091,6
4092,5
4093,5
4094,1
4095,2
4096,1
4097,2
4098,7
4099,1
4100,7
4101,2
4102,9
4103,2
4104,5
4105,2
4106,6
4107,5
4108,5
4109,1
4110,8
4111,5
4112,6
4113,2
4114,3
4115,3
4116,7
4117,2
4118,1
4119,4
4120,1
4121,3
4122,3
4123,9
4124,7
4125,4
4126,1
4127,6
4128,5
4129,7
4130,6
4131,1
4132,1
4133,4
4134,9
4135,8
4136,5
4137,1
4138,6
4139,9
4140,7
4141,1
4142,7
4143,4
4144,9
4145,3
4146,3
4147,0
4148,2
4149,2
4150,9
4151,2
4152,0
4153,3
4154,8
4155,5
4156,7
4157,3
4158,9
4159,5
4160,1
4161,6
4162,1
4163,7
4164,2
4165,3
4166,2
4167,1
4168,9
4169,5
4170,9
4171,8
